discharge,rSOC,voltage
0,1,4.1
260,0.948818897637795,4.05
520,0.89763779527559,4.02
780,0.846456692913386,3.8
1040,0.795275590551181,3.92
1300,0.744094488188976,3.86
1560,0.692913385826772,3.82
1820,0.641732283464567,3.77
2080,0.590551181102362,3.72
2340,0.539370078740157,3.66
2600,0.488188976377953,3.62
2860,0.437007874015748,3.58
3120,0.385826771653543,3.55
3380,0.334645669291339,3.52
3640,0.283464566929134,3.47
3900,0.232283464566929,3.42
4160,0.181102362204724,3.36
4420,0.12992125984252,3.26
4680,0.078740157480315,3.12
4940,0.02755905511811,2.87
5080,0,2.5
50800,-9,2.5
