rotation,areaRatio
-90,0.034601069721486
-85,0.067707478060279
-80,0.112357067216326
-75,0.161584756739862
-70,0.225105399972883
-65,0.304403226269396
-60,0.386909324610451
-55,0.466576591963033
-50,0.542816576330275
-45,0.614725749673507
-40,0.682086599616682
-35,0.744257996435408
-30,0.800745484766012
-25,0.851158951954114
-20,0.895040298713808
-15,0.932133741343311
-10,0.962144552142648
-5,0.9848199370654
0,1
5,1.00754558930604
10,1.00744692694194
15,0.999679718220796
20,0.984346386866864
25,0.961476201606161
30,0.931286671077667
35,0.893976235524736
40,0.849936145539323
45,0.799343700764289
50,0.402195516573423
55,0.680465126396098
60,0.613036164629581
65,0.540878425733737
70,0.464631333460866
75,0.38485168496313
80,0.305663190363299
85,0.231541345056749
90,0.165110412466438
